YEAR,DISTRICT, INJURED, KILLED 
2015,CENTRAL DELHI,2,0
2015,NORTH WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,SHAHDARA,1,0
2015,SHAHDARA,1,0
2015,SOUTH DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,WEST DELHI,3,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,0,0
2015,SOUTH EAST DELHI,2,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,SOUTH EAST DELHI,1,1
2015,WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),2,0
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,1,0
2015,SOUTH DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,WEST DELHI,0,1
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SHAHDARA,1,0
2015,NEW DELHI,2,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH DELHI,2,0
2015,SOUTH DELHI,2,0
2015,SOUTH EAST DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,0,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH WEST DELHI,4,0
2015,NORTH WEST DELHI,2,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,CENTRAL DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,2,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SHAHDARA,1,0
2015,WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH WEST DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,NEW DELHI,1,0
2015,NEW DELHI,1,1
2015,CENTRAL DELHI,1,0
2015,SOUTH DELHI,0,1
2015,SOUTH EAST DELHI,2,0
2015,SOUTH EAST DELHI,3,1
2015,NEW DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,NEW DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH DELHI,2,0
2015,NORTH DELHI(ROHINI),1,0
2015,SHAHDARA,2,0
2015,SOUTH DELHI,0,1
2015,SOUTH EAST DELHI,1,0
2015,WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SHAHDARA,2,0
2015,WEST DELHI,1,0
2015,CENTRAL DELHI,2,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,1
2015,CENTRAL DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SHAHDARA,0,0
2015,SOUTH DELHI,0,1
2015,CENTRAL DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SHAHDARA,1,0
2015,EAST DELHI,0,1
2015,NORTH DELHI(ROHINI),0,1
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NEW DELHI,2,0
2015,SOUTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,WEST DELHI,2,0
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,EAST DELHI,1,0
2015,NORTH WEST DELHI,0,1
2015,CENTRAL DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SHAHDARA,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,NORTH DELHI(ROHINI),0,1
2015,SOUTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,SHAHDARA,2,0
2015,SOUTH DELHI,4,0
2015,SOUTH DELHI,1,0
2015,SOUTH DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,SHAHDARA,3,0
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,1,1
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,SOUTH EAST DELHI,0,0
2015,SOUTH WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,1
2015,WEST DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH EAST DELHI,0,1
2015,SHAHDARA,0,1
2015,SOUTH EAST DELHI,0,1
2015,CENTRAL DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,SHAHDARA,1,0
2015,SOUTH WEST DELHI,3,0
2015,SOUTH EAST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH WEST DELHI,2,0
2015,SOUTH EAST DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH DELHI,2,0
2015,CENTRAL DELHI,2,0
2015,NORTH DELHI(ROHINI),0,1
2015,SOUTH EAST DELHI,1,0
2015,SHAHDARA,1,0
2015,SOUTH WEST DELHI,2,0
2015,WEST DELHI,2,0
2015,SHAHDARA,1,0
2015,NORTH EAST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,1
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH DELHI,2,0
2015,CENTRAL DELHI,0,1
2015,NORTH DELHI(ROHINI),0,1
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,SOUTH WEST DELHI,0,1
2015,WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH EAST DELHI,0,1
2015,SHAHDARA,1,0
2015,SHAHDARA,1,0
2015,NEW DELHI,0,1
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,CENTRAL DELHI,0,1
2015,NEW DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,2,1
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,SOUTH DELHI,1,0
2015,NORTH EAST DELHI,0,1
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,SOUTH DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,SHAHDARA,1,0
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SHAHDARA,2,0
2015,NORTH DELHI(ROHINI),0,1
2015,NORTH DELHI(ROHINI),0,1
2015,CENTRAL DELHI,1,1
2015,NEW DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,WEST DELHI,1,0
2015,SOUTH EAST DELHI,0,1
2015,SOUTH DELHI,1,0
2015,SOUTH DELHI,1,0
2015,EAST DELHI,1,0
2015,WEST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,NORTH EAST DELHI,0,1
2015,SOUTH EAST DELHI,1,0
2015,WEST DELHI,1,0
2015,WEST DELHI,0,1
2015,NORTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),4,0
2015,SHAHDARA,0,1
2015,EAST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,2,0
2015,SOUTH EAST DELHI,0,1
2015,NEW DELHI,2,0
2015,WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,2,0
2015,EAST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,SHAHDARA,2,0
2015,SOUTH EAST DELHI,2,0
2015,CENTRAL DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH DELHI,1,0
2015,WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH EAST DELHI,1,0
2015,WEST DELHI,0,1
2015,NEW DELHI,1,0
2015,SHAHDARA,0,1
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),5,0
2015,NORTH WEST DELHI,1,0
2015,NORTH WEST DELHI,4,0
2015,SOUTH WEST DELHI,0,1
2015,NORTH WEST DELHI,2,0
2015,CENTRAL DELHI,1,0
2015,NEW DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,EAST DELHI,0,1
2015,SOUTH EAST DELHI,0,0
2015,EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,NORTH WEST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,2,0
2015,SOUTH EAST DELHI,1,0
2015,EAST DELHI,1,0
2015,EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),0,2
2015,EAST DELHI,2,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,1
2015,CENTRAL DELHI,3,0
2015,SHAHDARA,2,0
2015,WEST DELHI,3,0
2015,NORTH WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,1
2015,SOUTH WEST DELHI,2,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,EAST DELHI,1,0
2015,EAST DELHI,3,0
2015,WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,SOUTH DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,EAST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,EAST DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,CENTRAL DELHI,1,0
2015,SHAHDARA,1,0
2015,EAST DELHI,1,0
2015,EAST DELHI,1,0
2015,NEW DELHI,1,0
2015,WEST DELHI,1,0
2015,NEW DELHI,2,0
2015,NORTH WEST DELHI,3,0
2015,NORTH WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,0,1
2015,NEW DELHI,0,1
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH WEST DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH EAST DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,CENTRAL DELHI,3,0
2015,NEW DELHI,0,1
2015,SOUTH DELHI,1,0
2015,SHAHDARA,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,0,1
2015,SHAHDARA,0,1
2015,NORTH DELHI(ROHINI),2,1
2015,WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,5,1
2015,SOUTH WEST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,0,0
2015,WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,NORTH EAST DELHI,2,0
2015,CENTRAL DELHI,0,1
2015,SOUTH WEST DELHI,0,1
2015,NEW DELHI,1,0
2015,SHAHDARA,0,1
2015,SOUTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH DELHI(ROHINI),2,1
2015,WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,CENTRAL DELHI,0,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,1
2015,EAST DELHI,2,0
2015,WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),2,0
2015,NORTH EAST DELHI,0,1
2015,NEW DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,SHAHDARA,1,0
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,1,0
2015,WEST DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,NEW DELHI,3,0
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,SOUTH DELHI,1,0
2015,SOUTH DELHI,0,1
2015,SOUTH DELHI,2,0
2015,EAST DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,CENTRAL DELHI,2,0
2015,NORTH WEST DELHI,0,2
2015,NORTH DELHI(ROHINI),3,0
2015,SOUTH DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH EAST DELHI,0,0
2015,WEST DELHI,0,1
2015,SOUTH DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH DELHI(ROHINI),1,0
2015,WEST DELHI,1,0
2015,CENTRAL DELHI,2,0
2015,SOUTH WEST DELHI,0,1
2015,NEW DELHI,1,0
2015,NEW DELHI,0,1
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,SOUTH DELHI,1,0
2015,NORTH DELHI(ROHINI),3,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NEW DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH EAST DELHI,2,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH DELHI(ROHINI),2,0
2015,CENTRAL DELHI,1,0
2015,CENTRAL DELHI,1,1
2015,NEW DELHI,0,1
2015,NEW DELHI,2,1
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SHAHDARA,1,0
2015,EAST DELHI,2,0
2015,NORTH WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,EAST DELHI,2,2
2015,NEW DELHI,0,1
2015,NEW DELHI,1,0
2015,NEW DELHI,2,0
2015,SOUTH DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SHAHDARA,1,0
2015,CENTRAL DELHI,2,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,SHAHDARA,4,0
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,CENTRAL DELHI,2,0
2015,SOUTH EAST DELHI,2,0
2015,SOUTH WEST DELHI,0,1
2015,EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,SOUTH DELHI,1,0
2015,WEST DELHI,0,1
2015,WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,EAST DELHI,2,0
2015,SOUTH EAST DELHI,0,1
2015,WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NORTH WEST DELHI,3,0
2015,SOUTH EAST DELHI,2,0
2015,NEW DELHI,1,0
2015,NEW DELHI,2,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,SOUTH EAST DELHI,2,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,WEST DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,NORTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,WEST DELHI,1,0
2015,WEST DELHI,0,1
2015,NEW DELHI,3,0
2015,SOUTH EAST DELHI,0,1
2015,SOUTH EAST DELHI,2,0
2015,NEW DELHI,0,1
2015,SOUTH EAST DELHI,0,0
2015,WEST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,SHAHDARA,2,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH DELHI(ROHINI),0,1
2015,NORTH WEST DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH WEST DELHI,0,0
2015,SOUTH DELHI,1,0
2015,SOUTH EAST DELHI,2,0
2015,EAST DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,SOUTH DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH EAST DELHI,1,1
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,2,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,SOUTH DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,CENTRAL DELHI,2,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,1,1
2015,NORTH DELHI(ROHINI),0,1
2015,SOUTH WEST DELHI,0,1
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,SHAHDARA,1,0
2015,SOUTH EAST DELHI,2,0
2015,SOUTH EAST DELHI,2,0
2015,SOUTH EAST DELHI,3,0
2015,NORTH DELHI(ROHINI),1,1
2015,SOUTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH WEST DELHI,0,1
2015,SOUTH DELHI,1,0
2015,NORTH DELHI(ROHINI),0,1
2015,WEST DELHI,1,1
2015,WEST DELHI,0,1
2015,WEST DELHI,2,0
2015,SHAHDARA,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH EAST DELHI,0,1
2015,NORTH EAST DELHI,1,0
2015,NORTH EAST DELHI,0,1
2015,WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH DELHI,2,0
2015,CENTRAL DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,0,1
2015,SOUTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,1
2015,NORTH DELHI(ROHINI),0,1
2015,WEST DELHI,1,0
2015,WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,2,0
2015,SHAHDARA,1,0
2015,NORTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NEW DELHI,1,1
2015,NEW DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SHAHDARA,1,0
2015,CENTRAL DELHI,2,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,EAST DELHI,1,0
2015,SHAHDARA,2,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,EAST DELHI,1,1
2015,CENTRAL DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH EAST DELHI,2,1
2015,NEW DELHI,3,0
2015,NORTH DELHI(ROHINI),1,1
2015,EAST DELHI,0,1
2015,NEW DELHI,0,0
2015,CENTRAL DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SHAHDARA,1,0
2015,SOUTH WEST DELHI,1,0
2015,NEW DELHI,1,0
2015,SOUTH DELHI,1,1
2015,CENTRAL DELHI,1,0
2015,NEW DELHI,2,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,EAST DELHI,0,1
2015,CENTRAL DELHI,2,0
2015,CENTRAL DELHI,1,1
2015,NORTH DELHI(ROHINI),1,0
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH WEST DELHI,3,0
2015,NEW DELHI,1,0
2015,NEW DELHI,0,1
2015,NEW DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,1
2015,NEW DELHI,1,0
2015,NORTH DELHI(ROHINI),1,1
2015,CENTRAL DELHI,2,0
2015,NORTH DELHI(ROHINI),1,1
2015,WEST DELHI,2,0
2015,CENTRAL DELHI,2,0
2015,WEST DELHI,1,0
2015,NORTH WEST DELHI,1,0
2015,WEST DELHI,2,0
2015,CENTRAL DELHI,1,0
2015,NEW DELHI,1,0
2015,NEW DELHI,1,0
2015,SHAHDARA,2,1
2015,NEW DELHI,0,1
2015,SOUTH WEST DELHI,1,0
2015,SOUTH WEST DELHI,0,1
2015,SOUTH EAST DELHI,0,1
2015,SOUTH WEST DELHI,0,1
2015,NORTH WEST DELHI,1,0
2015,NORTH EAST DELHI,1,0
2015,WEST DELHI,2,0
2015,WEST DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,CENTRAL DELHI,1,0
2015,SOUTH DELHI,1,0
2015,SOUTH DELHI,1,0
2015,SOUTH EAST DELHI,0,1
2015,NORTH WEST DELHI,2,0
2015,SOUTH EAST DELHI,4,0
2015,WEST DELHI,1,1
2015,NORTH DELHI(ROHINI),1,0
2015,SHAHDARA,1,1
2015,SOUTH WEST DELHI,0,1
2015,CENTRAL DELHI,1,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,SOUTH EAST DELHI,0,1
2015,NORTH EAST DELHI,1,0
2015,CENTRAL DELHI,0,1
2015,NORTH EAST DELHI,1,0
2015,SOUTH EAST DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,WEST DELHI,1,0
2015,SHAHDARA,2,0
2015,SOUTH DELHI,1,0
2015,SOUTH EAST DELHI,0,0
2015,SOUTH EAST DELHI,0,0
2015,WEST DELHI,1,0
2015,SOUTH DELHI,1,0
2015,NEW DELHI,1,0
2015,NORTH WEST DELHI,3,0
2015,SOUTH EAST DELHI,1,0
2015,SOUTH WEST DELHI,1,0
2015,CENTRAL DELHI,1,0
2015,NEW DELHI,1,0
2015,SOUTH WEST DELHI,0,0
2015,SHAHDARA,0,1
2015,SOUTH EAST DELHI,1,0
2015,NORTH DELHI(ROHINI),1,0
2015,SOUTH DELHI,1,0
2015,EAST DELHI,1,0
2015,SOUTH DELHI,2,0
2015,NORTH DELHI(ROHINI),1,0
2015,NORTH DELHI(ROHINI),0,1
2015,WEST DELHI,0,1
2015,SOUTH EAST DELHI,1,0
2015,CENTRAL DELHI,2,1
2015,NORTH WEST DELHI,1,0
2015,NEW DELHI,0,1
2015,NORTH DELHI(ROHINI),1,0
2015,WEST DELHI,2,0
